#Parabolic search strategy:
#p(d) = p_max - (p_max - p_min) * (d - 200 / 2sqrt2)^2 * (2sqrt2 / 200)^2
#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p_min	p_max	<fpt>	<delta>
0.750	0.450	40137.488034	40.707610
0.750	0.500	38061.808980	38.557423
0.750	0.550	36171.145850	36.522612
0.750	0.600	34509.536814	34.750046
0.750	0.650	32784.442342	33.039434
0.750	0.700	31203.943668	31.369514
0.750	0.750	29694.546085	29.831875
0.750	0.800	28229.178903	28.337371
0.750	0.850	26905.886785	26.965717
0.750	0.900	25617.664376	25.652874
0.750	0.950	24378.273158	24.350065
0.750	1.000	23463.307458	23.482498

0.800	0.000	63563.524838	65.987534
0.800	0.050	59381.905407	61.465110
0.800	0.100	55766.639132	57.516112
0.800	0.150	52356.164298	53.903377
0.800	0.200	49220.216690	50.520402
0.800	0.250	46473.164902	47.603332
0.800	0.300	43883.020000	44.812888
0.800	0.350	41478.742046	42.141666
0.800	0.400	39296.443800	39.876848
0.800	0.450	37332.330331	37.889095
0.800	0.500	35274.880003	35.750410
0.800	0.550	33471.643362	33.789042
0.800	0.600	31798.760588	32.144126
0.800	0.650	30223.659954	30.384893
0.800	0.700	28637.935736	28.854318
0.800	0.750	27192.726948	27.317981
0.800	0.800	25809.048048	25.902053
0.800	0.850	24471.583940	24.524748
0.800	0.900	23298.862770	23.365971
0.800	0.950	22142.939509	22.162837
0.800	1.000	21320.761816	21.305974

0.850	0.000	60167.246260	62.620662
0.850	0.050	55995.398019	58.077983
0.850	0.100	52458.064611	54.272297
0.850	0.150	49212.731825	50.834873
0.850	0.200	46231.138875	47.403279
0.850	0.250	43543.803232	44.611501
0.850	0.300	41031.659803	42.000188
0.850	0.350	38738.323418	39.530678
0.850	0.400	36692.902583	37.326910
0.850	0.450	34650.989778	35.173354
0.850	0.500	32739.801696	33.186019
0.850	0.550	31025.659403	31.384042
0.850	0.600	29349.606342	29.614542
0.850	0.650	27792.265564	27.965340
0.850	0.700	26396.515950	26.623883
0.850	0.750	25037.195566	25.160274
0.850	0.800	23673.555521	23.718105
0.850	0.850	22434.110553	22.466644
0.850	0.900	21244.144598	21.241668
0.850	0.950	20178.173682	20.208707
0.850	1.000	19569.670189	19.535187

0.900	0.000	56968.267369	59.480834
0.900	0.050	53002.180523	55.118242
0.900	0.100	49429.194401	51.225317
0.900	0.150	46361.057352	47.879490
0.900	0.200	43495.463514	44.750530
0.900	0.250	40858.411007	41.953504
0.900	0.300	38465.460656	39.325914
0.900	0.350	36272.130031	37.058474
0.900	0.400	34256.526503	34.867442
0.900	0.450	32283.952488	32.911510
0.900	0.500	30491.319807	30.932959
0.900	0.550	28842.164062	29.198328
0.900	0.600	27196.048023	27.429510
0.900	0.650	25742.594011	25.918682
0.900	0.700	24374.311279	24.549222
0.900	0.750	23070.240109	23.211462
0.900	0.800	21777.852975	21.857546
0.900	0.850	20618.748148	20.649527
0.900	0.900	19499.076438	19.522623
0.900	0.950	18474.683308	18.481023
0.900	1.000	18248.036909	18.259616

0.950	0.000	54041.831454	56.667202
0.950	0.050	50278.706777	52.444608
0.950	0.100	46794.973355	48.562968
0.950	0.150	43833.754107	45.361021
0.950	0.200	40988.825263	42.301487
0.950	0.250	38606.073203	39.750810
0.950	0.300	36268.746463	37.254140
0.950	0.350	34103.958800	34.944892
0.950	0.400	32013.684106	32.614165
0.950	0.450	30210.141898	30.812542
0.950	0.500	28477.652616	28.925286
0.950	0.550	26886.231215	27.218888
0.950	0.600	25353.082733	25.620545
