#System variables:
#Boundary type: 1
#System Length: 1000
#Detection Radius: 1
#Ensembles: 1000000

#rlp	p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.610	0.998	657993.938946	658.232603	0.500562	0.000501
0.620	0.998	662997.495604	665.536559	0.504369	0.000506
0.630	0.998	667664.205006	668.279802	0.507919	0.000508
0.640	0.998	674044.564788	674.976551	0.512773	0.000513
0.650	0.998	679365.057744	679.701296	0.516820	0.000517
0.660	0.998	684864.146603	685.888900	0.521003	0.000522
0.670	0.999	689531.672381	690.478816	0.524554	0.000525
0.680	0.999	694987.568804	696.702569	0.528705	0.000530
0.690	0.999	701902.998643	702.501179	0.533966	0.000534
0.700	0.999	707236.025089	708.740639	0.538023	0.000539
0.710	0.999	712997.221054	714.399133	0.542405	0.000543
0.720	0.999	717604.393398	718.453660	0.545910	0.000547
0.730	0.999	722774.999805	723.983857	0.549844	0.000551
0.740	0.999	731033.895209	731.277081	0.556127	0.000556
0.750	0.999	735336.626205	735.660822	0.559400	0.000560
0.760	0.999	742995.015981	744.246694	0.565226	0.000566
0.770	0.999	747221.993195	748.233620	0.568441	0.000569
0.780	0.999	751177.358459	752.060332	0.571450	0.000572
0.790	0.999	759003.962838	759.720605	0.577405	0.000578
0.800	0.999	765334.933193	765.684399	0.582221	0.000582
0.810	0.999	770186.629143	770.392244	0.585912	0.000586
0.820	0.999	776195.305722	776.841790	0.590483	0.000591
0.830	0.999	781913.895861	782.896005	0.594833	0.000596
0.840	0.999	787509.371702	790.308610	0.599090	0.000601
0.850	0.999	793315.607273	795.722265	0.603507	0.000605
0.860	0.999	799226.232602	800.328699	0.608003	0.000609
0.870	0.999	804665.753702	805.673376	0.612141	0.000613
0.880	0.999	811725.109104	813.227539	0.617512	0.000619
0.890	0.999	817919.517331	819.410007	0.622224	0.000623
0.900	0.999	823500.832194	824.714680	0.626470	0.000627
0.910	0.999	829706.921702	831.107428	0.631191	0.000632
0.920	0.999	834263.165553	835.585284	0.634657	0.000636
0.930	0.999	839869.384997	840.855057	0.638922	0.000640
0.940	0.999	848116.376217	850.167411	0.645196	0.000647
0.950	0.999	853833.609062	855.953339	0.649545	0.000651
0.960	0.999	860921.341860	861.264351	0.654937	0.000655
0.970	0.999	864037.343878	865.782834	0.657308	0.000659
0.980	0.999	869803.792982	872.360335	0.661694	0.000664
0.990	0.999	876423.104543	876.993294	0.666730	0.000667
1.000	0.999	883281.438100	885.053233	0.671947	0.000673
