#System variables:
#Boundary type: 1
#System Length: 100
#Detection Radius: 1
#Ensembles: 1000000

#rlp	p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.330	0.970	5225.914754	5.260966	0.426199	0.000429
0.350	0.971	5290.738590	5.325495	0.431486	0.000434
0.340	0.971	5260.298580	5.287535	0.429003	0.000431
0.360	0.972	5326.849843	5.360080	0.434431	0.000437
0.370	0.973	5352.038872	5.383421	0.436485	0.000439
0.390	0.974	5438.056749	5.486394	0.443500	0.000447
0.380	0.974	5403.219978	5.440404	0.440659	0.000444
0.400	0.975	5475.778377	5.521600	0.446577	0.000450
0.410	0.976	5515.025944	5.552520	0.449777	0.000453
0.420	0.976	5559.371726	5.606007	0.453394	0.000457
0.430	0.977	5591.305430	5.640244	0.455998	0.000460
0.440	0.977	5651.103952	5.705585	0.460875	0.000465
0.460	0.978	5734.334238	5.786346	0.467663	0.000472
0.450	0.978	5685.847704	5.725804	0.463709	0.000467
0.470	0.979	5775.551383	5.821518	0.471025	0.000475
0.480	0.979	5826.349886	5.876255	0.475167	0.000479
0.500	0.980	5922.391627	5.989201	0.483000	0.000488
0.510	0.980	5959.041995	6.020451	0.485989	0.000491
0.490	0.980	5872.083560	5.922340	0.478897	0.000483
0.520	0.981	6015.785286	6.075506	0.490617	0.000495
0.530	0.981	6064.051913	6.124373	0.494553	0.000499
0.540	0.981	6101.293259	6.154929	0.497590	0.000502
0.550	0.982	6162.238978	6.227079	0.502561	0.000508
0.560	0.982	6208.767949	6.264174	0.506355	0.000511
0.570	0.982	6262.408870	6.343643	0.510730	0.000517
0.580	0.983	6307.666901	6.370784	0.514421	0.000520
0.590	0.983	6359.901569	6.438873	0.518681	0.000525
0.600	0.983	6407.716712	6.473966	0.522581	0.000528
0.610	0.984	6453.597818	6.525723	0.526323	0.000532
0.630	0.984	6550.314880	6.634228	0.534210	0.000541
0.620	0.984	6507.747129	6.587231	0.530739	0.000537
0.640	0.984	6622.302910	6.700533	0.540081	0.000546
0.650	0.985	6670.684346	6.753939	0.544027	0.000551
0.660	0.985	6724.677905	6.815511	0.548430	0.000556
0.670	0.985	6778.172163	6.870612	0.552793	0.000560
0.680	0.985	6823.976648	6.921424	0.556529	0.000564
0.690	0.986	6890.768354	6.978078	0.561976	0.000569
0.700	0.986	6941.385355	7.032050	0.566104	0.000573
0.710	0.986	6993.853340	7.092935	0.570383	0.000578
0.720	0.986	7060.739337	7.143911	0.575838	0.000583
0.730	0.986	7107.814069	7.218629	0.579677	0.000589
0.740	0.986	7170.883905	7.277324	0.584821	0.000594
0.750	0.987	7213.819029	7.324666	0.588322	0.000597
0.760	0.987	7270.370406	7.389490	0.592934	0.000603
0.770	0.987	7320.567788	7.433374	0.597028	0.000606
0.780	0.987	7390.175577	7.514376	0.602705	0.000613
0.790	0.987	7433.842312	7.564368	0.606266	0.000617
0.800	0.988	7500.205222	7.625561	0.611679	0.000622
0.810	0.988	7554.122509	7.682346	0.616076	0.000627
0.830	0.988	7662.459858	7.784688	0.624911	0.000635
0.820	0.988	7594.261254	7.709472	0.619349	0.000629
0.840	0.988	7720.578071	7.834279	0.629651	0.000639
0.850	0.988	7790.078333	7.921225	0.635319	0.000646
0.860	0.988	7833.103522	7.953423	0.638828	0.000649
0.870	0.989	7876.806417	8.010512	0.642392	0.000653
0.880	0.989	7964.446099	8.106032	0.649540	0.000661
0.890	0.989	8007.484889	8.139655	0.653050	0.000664
0.900	0.989	8062.760526	8.204175	0.657558	0.000669
0.910	0.989	8104.287398	8.247041	0.660944	0.000673
0.930	0.989	8239.091031	8.383130	0.671938	0.000684
0.940	0.989	8303.031373	8.449922	0.677153	0.000689
0.920	0.989	8180.736470	8.323431	0.667179	0.000679
0.950	0.989	8349.344913	8.481188	0.680930	0.000692
0.960	0.990	8413.345776	8.558636	0.686150	0.000698
0.970	0.990	8474.101964	8.626502	0.691105	0.000704
0.980	0.990	8526.190862	8.676726	0.695353	0.000708
0.990	0.990	8576.287309	8.721814	0.699438	0.000711
1.000	0.990	8639.690558	8.794816	0.704609	0.000717
